r,t,dt,inside
2.778711924754e+01,1.000000000000e+01,2.000000000000e+00,1
2.645699285997e+01,2.600000000000e+01,2.000000000000e+00,1
2.362562042197e+01,4.200000000000e+01,2.000000000000e+00,1
4.339698212368e+01,1.000000000000e+01,2.000000000000e+00,1
4.278697951102e+01,2.600000000000e+01,2.000000000000e+00,1
4.158943091559e+01,4.200000000000e+01,2.000000000000e+00,1
3.974345177477e+01,5.800000000000e+01,2.000000000000e+00,1
3.716170113348e+01,7.400000000000e+01,2.000000000000e+00,1
3.371191305177e+01,9.000000000000e+01,2.000000000000e+00,1
5.893999742839e+01,1.000000000000e+01,2.000000000000e+00,1
5.858991518939e+01,2.600000000000e+01,2.000000000000e+00,1
5.791672110201e+01,4.200000000000e+01,2.000000000000e+00,1
5.690554290845e+01,5.800000000000e+01,2.000000000000e+00,1
5.553739162524e+01,7.400000000000e+01,2.000000000000e+00,1
5.378791620071e+01,9.000000000000e+01,2.000000000000e+00,1
7.446085814096e+01,1.000000000000e+01,2.000000000000e+00,1
7.423384199120e+01,2.600000000000e+01,2.000000000000e+00,1
7.380078193021e+01,4.200000000000e+01,2.000000000000e+00,1
7.315650938707e+01,5.800000000000e+01,2.000000000000e+00,1
7.229470061322e+01,7.400000000000e+01,2.000000000000e+00,1
7.120768212094e+01,9.000000000000e+01,2.000000000000e+00,1
8.997248710161e+01,1.000000000000e+01,2.000000000000e+00,1
8.981339320594e+01,2.600000000000e+01,2.000000000000e+00,1
8.951106224964e+01,4.200000000000e+01,2.000000000000e+00,1
8.906329263757e+01,5.800000000000e+01,2.000000000000e+00,1
8.846744696469e+01,7.400000000000e+01,2.000000000000e+00,1
8.772040632714e+01,9.000000000000e+01,2.000000000000e+00,1
