t,r
0.000000000000e+00,4.349999999565e+01
6.671114076051e-02,4.349999614359e+01
1.334222815210e-01,4.349998283238e+01
2.001334222815e-01,4.349996065329e+01
2.668445630420e-01,4.349992941952e+01
3.335557038025e-01,4.349988911927e+01
4.002668445630e-01,4.349983975191e+01
4.669779853235e-01,4.349978131498e+01
5.336891260841e-01,4.349971380580e+01
6.004002668446e-01,4.349963722214e+01
6.671114076051e-01,4.349955156173e+01
7.338225483656e-01,4.349945682218e+01
8.005336891261e-01,4.349935300120e+01
8.672448298866e-01,4.349924009645e+01
9.339559706471e-01,4.349911810561e+01
1.000667111408e+00,4.349898702635e+01
1.067378252168e+00,4.349884685633e+01
1.134089392929e+00,4.349869759321e+01
1.200800533689e+00,4.349853923467e+01
1.267511674450e+00,4.349837177836e+01
1.334222815210e+00,4.349819522194e+01
1.400933955971e+00,4.349800956305e+01
1.467645096731e+00,4.349781479936e+01
1.534356237492e+00,4.349761092852e+01
1.601067378252e+00,4.349739794816e+01
1.667778519013e+00,4.349717585594e+01
1.734489659773e+00,4.349694464949e+01
1.801200800534e+00,4.349670432646e+01
1.867911941294e+00,4.349645488448e+01
1.934623082055e+00,4.349619632118e+01
2.001334222815e+00,4.349592863420e+01
2.068045363576e+00,4.349565182117e+01
2.134756504336e+00,4.349536587970e+01
2.201467645097e+00,4.349507080743e+01
2.268178785857e+00,4.349476660197e+01
2.334889926618e+00,4.349445326094e+01
2.401601067378e+00,4.349413078197e+01
2.468312208139e+00,4.349379916265e+01
2.535023348899e+00,4.349345840060e+01
2.601734489660e+00,4.349310849343e+01
2.668445630420e+00,4.349274943874e+01
2.735156771181e+00,4.349238123414e+01
2.801867911941e+00,4.349200387723e+01
2.868579052702e+00,4.349161736559e+01
2.935290193462e+00,4.349122169683e+01
3.002001334223e+00,4.349081686853e+01
3.068712474983e+00,4.349040287829e+01
3.135423615744e+00,4.348997972369e+01
3.202134756504e+00,4.348954740231e+01
3.268845897265e+00,4.348910591174e+01
3.335557038025e+00,4.348865524956e+01
3.402268178786e+00,4.348819541333e+01
3.468979319546e+00,4.348772640063e+01
3.535690460307e+00,4.348724820903e+01
3.602401601067e+00,4.348676083609e+01
3.669112741828e+00,4.348626427939e+01
3.735823882588e+00,4.348575853648e+01
3.802535023349e+00,4.348524360493e+01
3.869246164109e+00,4.348471948228e+01
