t,r
0.000000000000e+00,4.343749999566e+01
1.334222815210e-01,4.343747660479e+01
2.668445630420e-01,4.343740306017e+01
4.002668445630e-01,4.343727926792e+01
5.336891260841e-01,4.343710511948e+01
6.671114076051e-01,4.343688051233e+01
8.005336891261e-01,4.343660534518e+01
9.339559706471e-01,4.343627951656e+01
1.067378252168e+00,4.343590292483e+01
1.200800533689e+00,4.343547546821e+01
1.334222815210e+00,4.343499704480e+01
1.467645096731e+00,4.343446755253e+01
1.601067378252e+00,4.343388688919e+01
1.734489659773e+00,4.343325495244e+01
1.867911941294e+00,4.343257163976e+01
2.001334222815e+00,4.343183684850e+01
2.134756504336e+00,4.343105047586e+01
2.268178785857e+00,4.343021241889e+01
2.401601067378e+00,4.342932257448e+01
2.535023348899e+00,4.342838083937e+01
2.668445630420e+00,4.342738711016e+01
2.801867911941e+00,4.342634128328e+01
2.935290193462e+00,4.342524325501e+01
3.068712474983e+00,4.342409292148e+01
3.202134756504e+00,4.342289017867e+01
3.335557038025e+00,4.342163492237e+01
3.468979319546e+00,4.342032704826e+01
3.602401601067e+00,4.341896645183e+01
3.735823882588e+00,4.341755302841e+01
3.869246164109e+00,4.341608667320e+01
4.002668445630e+00,4.341456728120e+01
4.136090727151e+00,4.341299474728e+01
4.269513008672e+00,4.341136896613e+01
4.402935290193e+00,4.340968983228e+01
4.536357571714e+00,4.340795724011e+01
4.669779853235e+00,4.340617108381e+01
4.803202134757e+00,4.340433125744e+01
4.936624416278e+00,4.340243765485e+01
5.070046697799e+00,4.340049016975e+01
5.203468979320e+00,4.339848869569e+01
5.336891260841e+00,4.339643312603e+01
5.470313542362e+00,4.339432335397e+01
5.603735823883e+00,4.339215927254e+01
5.737158105404e+00,4.338994077460e+01
5.870580386925e+00,4.338766775283e+01
6.004002668446e+00,4.338534009976e+01
6.137424949967e+00,4.338295770770e+01
6.270847231488e+00,4.338052046884e+01
6.404269513009e+00,4.337802827517e+01
6.537691794530e+00,4.337548101848e+01
6.671114076051e+00,4.337287859042e+01
6.804536357572e+00,4.337022088245e+01
6.937958639093e+00,4.336750778584e+01
7.071380920614e+00,4.336473919169e+01
7.204803202135e+00,4.336191499093e+01
7.338225483656e+00,4.335903507427e+01
7.471647765177e+00,4.335609933229e+01
7.605070046698e+00,4.335310765534e+01
7.738492328219e+00,4.335005993362e+01
7.871914609740e+00,4.334695605711e+01
8.005336891261e+00,4.334379591564e+01
8.138759172782e+00,4.334057939883e+01
8.272181454303e+00,4.333730639612e+01
8.405603735824e+00,4.333397679675e+01
8.539026017345e+00,4.333059048978e+01
8.672448298866e+00,4.332714736409e+01
8.805870580387e+00,4.332364730834e+01
8.939292861908e+00,4.332009021101e+01
9.072715143429e+00,4.331647596040e+01
9.206137424950e+00,4.331280444460e+01
9.339559706471e+00,4.330907555150e+01
9.472981987992e+00,4.330528916881e+01
9.606404269513e+00,4.330144518402e+01
9.739826551034e+00,4.329754348444e+01
9.873248832555e+00,4.329358395717e+01
1.000667111408e+01,4.328956648911e+01
1.014009339560e+01,4.328549096697e+01
1.027351567712e+01,4.328135727723e+01
1.040693795864e+01,4.327716530620e+01
1.054036024016e+01,4.327291493996e+01
1.067378252168e+01,4.326860606438e+01
1.080720480320e+01,4.326423856515e+01
1.094062708472e+01,4.325981232773e+01
1.107404936624e+01,4.325532723737e+01
1.120747164777e+01,4.325078317913e+01
1.134089392929e+01,4.324618003783e+01
1.147431621081e+01,4.324151769810e+01
1.160773849233e+01,4.323679604435e+01
1.174116077385e+01,4.323201496076e+01
1.187458305537e+01,4.322717433132e+01
1.200800533689e+01,4.322227403979e+01
1.214142761841e+01,4.321731396970e+01
1.227484989993e+01,4.321229400439e+01
1.240827218145e+01,4.320721402696e+01
1.254169446298e+01,4.320207392027e+01
1.267511674450e+01,4.319687356701e+01
1.280853902602e+01,4.319161284959e+01
1.294196130754e+01,4.318629165023e+01
